Aleatório,Estimado,Correto,Diferença,K
1.0,0.86556,0.0,0.86556,503.0
3.0,1.06108,0.0,1.06108,504.0
4.0,3.54578,0.0,3.54578,505.0
4.0,2.86492,0.0,2.86492,506.0
2.0,1.97495,0.0,1.97495,507.0
2.0,0.70901,0.0,0.70901,508.0
3.0,0.87934,0.0,0.87934,509.0
5.0,1.66318,0.0,1.66318,510.0
5.0,4.45338,0.0,4.45338,511.0
2.0,1.9959,0.0,1.9959,512.0
3.0,2.93627,0.0,2.93627,513.0
3.0,2.88256,0.0,2.88256,514.0
3.0,2.97572,0.0,2.97572,515.0
5.0,4.71978,0.0,4.71978,516.0
4.0,3.19727,0.0,3.19727,517.0
4.0,3.99652,0.0,3.99652,518.0
4.0,4.03667,0.0,4.03667,519.0
1.0,1.01858,0.0,1.01858,520.0
1.0,0.96756,0.0,0.96756,521.0
5.0,4.94912,0.0,4.94912,522.0
1.0,0.99531,0.0,0.99531,523.0
2.0,1.6136,0.0,1.6136,524.0
1.0,0.9915,0.0,0.9915,525.0
1.0,0.4467,0.0,0.4467,526.0
1.0,0.99582,0.0,0.99582,527.0
2.0,0.64835,0.0,0.64835,528.0
3.0,2.95023,0.0,2.95023,529.0
2.0,1.97781,0.0,1.97781,530.0
3.0,2.96935,0.0,2.96935,531.0
4.0,3.97332,0.0,3.97332,532.0
1.0,0.98313,0.0,0.98313,533.0
3.0,1.05955,0.0,1.05955,534.0
2.0,1.56838,0.0,1.56838,535.0
5.0,4.21842,0.0,4.21842,536.0
4.0,2.45058,0.0,2.45058,537.0
1.0,0.93449,0.0,0.93449,538.0
2.0,1.98963,0.0,1.98963,539.0
1.0,0.83411,0.0,0.83411,540.0
4.0,3.95467,0.0,3.95467,541.0
3.0,2.97291,0.0,2.97291,542.0
2.0,1.69588,0.0,1.69588,543.0
4.0,1.05968,0.0,1.05968,544.0
3.0,2.57084,0.0,2.57084,545.0
3.0,2.79996,0.0,2.79996,546.0
4.0,3.83976,0.0,3.83976,547.0
5.0,4.65562,0.0,4.65562,548.0
1.0,0.98148,0.0,0.98148,549.0
5.0,4.90972,0.0,4.90972,550.0
4.0,4.05006,2.5,1.5500600000000002,551.0
4.0,3.94768,0.0,3.94768,552.0
2.0,1.99889,0.0,1.99889,553.0
2.0,1.95232,0.0,1.95232,554.0
2.0,1.99574,0.0,1.99574,555.0
2.0,0.56224,0.0,0.56224,556.0
1.0,0.96679,0.0,0.96679,557.0
2.0,1.99743,0.0,1.99743,558.0
3.0,1.5122,0.0,1.5122,559.0
3.0,2.92784,0.0,2.92784,560.0
4.0,3.95755,0.0,3.95755,561.0
2.0,1.96,0.0,1.96,562.0
5.0,4.96892,0.0,4.96892,563.0
5.0,4.14638,0.0,4.14638,564.0
4.0,3.99552,0.0,3.99552,565.0
2.0,0.43449,0.0,0.43449,566.0
5.0,4.92684,0.0,4.92684,567.0
5.0,3.99681,0.0,3.99681,568.0
3.0,1.13609,0.0,1.13609,569.0
4.0,3.97681,0.0,3.97681,570.0
2.0,1.90862,0.0,1.90862,571.0
3.0,2.96919,0.0,2.96919,572.0
2.0,0.76441,0.0,0.76441,573.0
1.0,0.99755,0.0,0.99755,574.0
1.0,0.99652,0.0,0.99652,575.0
4.0,1.55487,0.0,1.55487,576.0
2.0,1.95917,0.0,1.95917,577.0
2.0,2.02563,0.0,2.02563,578.0
3.0,2.93659,0.0,2.93659,579.0
5.0,4.3044,0.0,4.3044,580.0
5.0,4.7936,0.0,4.7936,581.0
5.0,4.99398,0.0,4.99398,582.0
5.0,4.95286,0.0,4.95286,583.0
2.0,1.99829,0.0,1.99829,584.0
2.0,2.01704,0.0,2.01704,585.0
5.0,4.97243,0.0,4.97243,586.0
4.0,3.30472,0.0,3.30472,587.0
4.0,3.79757,0.0,3.79757,588.0
1.0,1.00338,2.0,-0.99662,589.0
4.0,3.97426,0.0,3.97426,590.0
5.0,4.71495,0.0,4.71495,591.0
4.0,3.96298,0.0,3.96298,592.0
1.0,0.15204,0.0,0.15204,593.0
3.0,2.9384,0.0,2.9384,594.0
2.0,2.0029,0.0,2.0029,595.0
5.0,4.99042,0.0,4.99042,596.0
5.0,1.88284,0.0,1.88284,597.0
5.0,4.95287,0.0,4.95287,598.0
5.0,5.00035,1.0,4.00035,599.0
5.0,3.6397,0.0,3.6397,600.0
4.0,3.39558,0.0,3.39558,601.0
5.0,4.99372,0.0,4.99372,602.0
3.0,2.9928,0.0,2.9928,603.0
2.0,1.97477,0.0,1.97477,604.0
1.0,0.9635,0.0,0.9635,605.0
4.0,3.50118,0.0,3.50118,606.0
2.0,1.94442,0.0,1.94442,607.0
3.0,2.36569,0.0,2.36569,608.0
1.0,1.02912,0.0,1.02912,609.0
2.0,1.9961,0.0,1.9961,610.0
1.0,0.99969,0.0,0.99969,611.0
4.0,3.98231,0.0,3.98231,612.0
3.0,2.95055,0.0,2.95055,613.0
4.0,3.9933,0.0,3.9933,614.0
3.0,2.99986,3.5,-0.50014,615.0
2.0,1.99539,0.0,1.99539,616.0
4.0,2.81255,0.0,2.81255,617.0
5.0,4.87,0.0,4.87,618.0
4.0,4.03887,4.0,0.0388700000000001,619.0
5.0,4.98847,0.0,4.98847,620.0
1.0,0.96153,0.0,0.96153,621.0
5.0,4.99543,0.0,4.99543,622.0
1.0,0.99888,0.0,0.99888,623.0
4.0,3.98815,0.0,3.98815,624.0
3.0,2.96362,0.0,2.96362,625.0
1.0,1.0111,0.0,1.0111,626.0
2.0,1.93535,0.0,1.93535,627.0
