Aleatório,Estimado,Correto,Diferença,K
1.0,1.25321,2.5,-1.24679,519.0
5.0,3.73615,2.5,1.23615,520.0
2.0,1.82914,2.5,-0.67086,521.0
3.0,2.42433,2.5,-0.0756700000000001,522.0
5.0,3.74258,2.5,1.2425799999999998,523.0
4.0,3.0857,2.5,0.5857000000000001,524.0
2.0,1.88469,2.5,-0.61531,525.0
4.0,3.11378,2.5,0.6137800000000002,526.0
4.0,3.11663,2.5,0.6166299999999998,527.0
1.0,1.27355,2.5,-1.22645,528.0
3.0,2.48742,2.5,-0.0125799999999998,529.0
3.0,2.48717,2.5,-0.0128300000000001,530.0
5.0,3.83266,2.5,1.3326600000000002,531.0
5.0,3.85165,2.5,1.3516499999999998,532.0
5.0,3.84971,2.5,1.34971,533.0
2.0,1.88771,2.5,-0.61229,534.0
2.0,1.89507,2.5,-0.60493,535.0
4.0,3.19486,2.5,0.6948599999999998,536.0
4.0,3.19397,2.5,0.6939700000000002,537.0
1.0,1.28992,2.5,-1.21008,538.0
3.0,2.53232,2.5,0.0323199999999999,539.0
3.0,2.53751,2.5,0.0375100000000001,540.0
1.0,1.30659,2.5,-1.19341,541.0
4.0,3.2416,2.5,0.7416,542.0
3.0,2.59004,2.5,0.0900400000000001,543.0
5.0,3.97625,2.5,1.4762499999999998,544.0
5.0,4.02676,2.5,1.5267600000000003,545.0
3.0,2.63525,2.5,0.1352500000000001,546.0
4.0,3.30583,2.5,0.8058299999999998,547.0
1.0,1.36149,2.5,-1.13851,548.0
3.0,2.65346,2.5,0.1534599999999999,549.0
5.0,4.08729,2.5,1.5872900000000003,550.0
1.0,1.40002,2.5,-1.09998,551.0
1.0,1.38538,2.5,-1.11462,552.0
1.0,1.37696,2.5,-1.12304,553.0
3.0,2.68537,2.5,0.1853699999999998,554.0
4.0,3.36682,2.5,0.8668200000000001,555.0
3.0,2.68081,2.5,0.1808100000000001,556.0
4.0,3.36423,2.5,0.86423,557.0
5.0,4.10282,2.5,1.6028200000000004,558.0
3.0,2.70013,2.5,0.2001300000000001,559.0
2.0,2.03593,2.5,-0.46407,560.0
1.0,1.38927,2.5,-1.11073,561.0
4.0,3.42757,2.5,0.9275699999999998,562.0
4.0,3.44936,2.5,0.94936,563.0
5.0,4.20397,2.5,1.70397,564.0
4.0,3.48699,2.5,0.98699,565.0
2.0,2.10315,2.5,-0.3968500000000001,566.0
5.0,4.23789,2.5,1.7378900000000002,567.0
2.0,2.10567,2.5,-0.39433,568.0
5.0,4.23791,2.5,1.7379100000000005,569.0
5.0,4.24114,2.5,1.7411399999999997,570.0
1.0,1.44556,2.5,-1.05444,571.0
5.0,4.24376,2.5,1.74376,572.0
5.0,4.34687,2.5,1.84687,573.0
5.0,4.34434,2.5,1.84434,574.0
1.0,1.48189,2.5,-1.01811,575.0
3.0,2.80533,2.5,0.3053300000000001,576.0
1.0,1.40198,2.5,-1.09802,577.0
2.0,2.09903,2.5,-0.40097,578.0
1.0,1.40062,2.5,-1.09938,579.0
2.0,2.09993,2.5,-0.4000699999999999,580.0
2.0,2.09845,2.5,-0.4015499999999998,581.0
5.0,4.35011,2.5,1.85011,582.0
3.0,2.85957,2.5,0.3595700000000001,583.0
4.0,3.60312,2.5,1.10312,584.0
4.0,3.60317,2.5,1.10317,585.0
2.0,2.15698,2.5,-0.3430200000000001,586.0
2.0,2.13654,2.5,-0.3634599999999999,587.0
2.0,2.13887,2.5,-0.3611300000000002,588.0
